fips,white,black,hispanic,asian,no_high_sch,high_sch%,some_col%,college%,unemployment,med_hh_income,med_hh_income_pct_state,rural_urban_continuum,urban_influence,metro_code,population,pop_change,nat_incr_rate,intl_migration,poverty_pct,child_poverty,ppl_per_sq_mi,majority
20137,91.1,4.1,4.2,0.5,10.9,34.7,35.6,18.8,2.2,49739,80.18798065,7,11,0,5361,-58,-2,1,11.6,148,6.5,R
20139,95.5,1.8,2,0.2,9.2,39.1,32.4,19.2,3.6,55655,89.72560883,3,2,1,15949,11,-2.4,3,14.2,652,23.1,R
20141,97,1.2,1.2,0.5,6.1,34.6,35.7,23.6,2,46351,74.72592926,9,12,0,3421,-38,1.5,1,13.5,156,4.3,R
20143,95.70000000000002,2.2,2,0.1,5.1,35.4,35.1,24.5,2.7,58729,94.68143463,9,8,0,5704,-48,-3.1,1,9.9,161,8.5,R
20145,86.3,6.7,6.6,0.5,9.4,33.1,38,19.6,2.9,65141,105.0186996,7,9,0,6414,-159,-0.8,-1,14,164,9.2,R
20147,95.6,1.5,2.1,0.7,7.6,36.6,34,21.8,2.6,51546,83.10118103,7,11,0,5234,-42,-2.9,0,11,181,6.4,R
20149,91.1,3.6000000000000005,4.4,0.7,5.8,29.1,31.4,33.8,2.8,73685,118.793129,3,2,1,24383,174,6.3,6,7.2,610,25.7,R
20151,91.3,3.1,5.4,0.3,7.9,24.9,36.9,30.3,2.5,53980,87.02521515,7,11,0,9164,-176,0.9,4,11.2,322,13.1,R
20153,95.3,1.2,3.2,0.2,4.2,29.8,41.9,24.1,2.2,50768,81.84690857,9,12,0,2530,28,5.2,7,14.2,108,2.4,R
20155,86.1,5.6,8.1,0.5,11.5,27.7,39.9,20.9,3.2,53371,86.043396,4,5,0,61998,-333,-0.5,38,13.4,2267,51.4,R
20157,97.4,1.2,1.1,0.3,4.1,34.5,35.9,25.5,2.6,47082,75.90442657,9,12,0,4636,-16,-0.4,5,12.2,176,6.9,R
20159,86.1,3.9,10.1,0.4,8.4,29.3,39.5,22.8,2.8,56350,90.84606934,7,9,0,9537,54,0.9,7,11.8,334,13.9,R
20161,79.5,9.9,6.5,4.2,4.2,19.1,31.1,45.6,2.8,51996,83.82666016,3,2,1,74232,-480,6.6,416,20.9,1578,116.6,D
20163,96.1,1.4,2.1,0.4,11.3,30.4,35.2,23.1,3.5,49485,79.77848816,9,10,0,4920,-75,-4.2,0,10.5,150,5.8,R
20165,95.7,1.3999999999999997,2.5,0.20000000000000004,7.9,29.8,38.6,23.7,2.8,53189,85.74998474,9,10,0,3036,-20,0.3,0,12.2,105,4.6,R
